country_code,region,county,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,NY,NIAGARA,3663000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ONEIDA,3665000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ONONDAGA,3667000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ONTARIO,3669000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ORANGE,3671000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ORLEANS,3673000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,OSWEGO,3675000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,OTSEGO,3677000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,PUTNAM,3679000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,QUEENS,3681000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,RENSSELAER,3683000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,RICHMOND,3685000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ROCKLAND,3687000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SAINT LAWRENCE,3689000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SARATOGA,3691000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SCHENECTADY,3693000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SCHOHARIE,3695000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SCHUYLER,3697000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SENECA,3699000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ST. LAWRENCE,3689000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,STEUBEN,36AA000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SUFFOLK,36ABA00010,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,SULLIVAN,36AC000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,TIOGA,36AD000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,TOMPKINS,36AE000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,ULSTER,36AG000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,WARREN,36AH000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,WASHINGTON,36AI000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,WAYNE,36AJ000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,WESTCHESTER,36AK000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,WYOMING,36AL000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,YATES,36AN000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,ALLEN,3903000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,ASHTABULA,3907000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,ATHENS,3909000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,BROWN,3915000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,BUTLER,3917000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CHAMPAIGN,3921000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CLARK,3923000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CLERMONT,3925000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CLINTON,3927000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,COLUMBIANA,3929000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,COSHOCTON,3931000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CRAWFORD,3933000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,CUYAHOGA,3935000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,DARKE,3937000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,DELAWARE,3941000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,ERIE,3943000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,FAIRFIELD,3945000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,FAYETTE,3947000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,FRANKLIN,3949000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,FULTON,3951000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,GEAUGA,3955000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,GREENE,3957000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,GUERNSEY,3959000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,HAMILTON,3961000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,HANCOCK,3963000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,HENRY,3969000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,HIGHLAND,3971000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,HURON,3977000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
