country_code,region,city,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,NM,CORRALES,3543179600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,FARMINGTON,3545258000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,FORT SUMNER,3511273400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,HOBBS,3525325200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,LAS CRUCES,3513A00030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,LAS VEGAS,3547399400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,NAVAJO,3545999990,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,RIO RANCHO,3543634600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,ROSWELL,3505649300,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,SANTA FE,3549705000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,SOCORRO,3553735400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NM,SUNLAND PARK,3513A00060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,ASTORIA,3681000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,AUBURN,3611030780,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,GLENS FALLS,36AH293330,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,GLOVERSVILLE,3635A00050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,ITHACA,36AE380770,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,JOHNSTOWN,3635387810,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,MOUNT VERNON,36AKA00210,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,NEW ROCHELLE,36AKA00220,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,NEW YORK,3681510000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,NORWICH,3617539790,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,OLEAN,3609547160,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,ONEIDA,3653548370,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,OSWEGO CITY,3675555740,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,ROCHESTER,3655630000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,ROME,3665634180,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,SALAMANCA,3609647490,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,SARATOGA SPRINGS,3691652550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,UTICA,3665A00120,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,WHITE PLAINS,36AKA00350,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,WYOMING,36AL024180,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,YONKERS,36AKA00390,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,AURORA,4611027800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,BOX ELDER,46AB577190,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,BRANDON,4699068400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,BROOKINGS,4611075800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,CHELSEA,4649115000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,CLEAR LAKE,4639125400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,HARTFORD,4699275400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,MITCHELL,4661431000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,RAPID CITY,46AB529800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,SIOUX FALLS,4629693000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,SD,STURGIS,4693621000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
