salesOrganization,distributionChannel,division,custPricProcedure,pricingProcedure,conditionType,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
5200,BP,01,ZZ,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,CP,01,Z1,ZDE,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,DP,01,Z1,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,DP,01,ZZ,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,MS,01,Z1,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,BP,01,ZZ,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,CP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,CP,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,CR,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,CR,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,DP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,IC,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
9300,MS,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
