paymentTerm,netPaymentTerm,modifiedAt,modifiedBy,createdAt,createdBy,config_ID,config_tableName
4580,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4585,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4590,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4595,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4600,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4605,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4610,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4615,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4620,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4625,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4630,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4635,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4640,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4645,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4650,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4655,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4660,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4665,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4670,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4675,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4680,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4685,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4690,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4695,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4700,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4705,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4710,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4715,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4720,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4725,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4730,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4735,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4740,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4745,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4750,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4755,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4760,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4765,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4770,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
4775,N045,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5000,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5005,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5010,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5015,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5020,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5025,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5030,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5035,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5040,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5045,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5050,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5055,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5060,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5065,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5070,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5075,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5080,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5085,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5090,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5095,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5100,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5105,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5110,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5115,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5120,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5125,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5130,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5135,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5140,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5145,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5150,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5155,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5160,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5165,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5170,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5175,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5180,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5185,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5190,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5195,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5200,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5205,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5210,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5215,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5220,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5225,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5230,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5235,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5240,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5245,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5250,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5255,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5260,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5265,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5270,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5275,N050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5500,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5505,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5510,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5515,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5520,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5525,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5530,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5535,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5540,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5545,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5550,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5555,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5560,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5565,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5570,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5575,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5580,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5585,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5590,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5595,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5600,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5605,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5610,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5615,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5620,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5625,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5630,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5635,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5640,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5645,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5650,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5655,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5660,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5665,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5670,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5675,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5680,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
